Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
35,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.5555555555555556,9|2|0|0|1|2|1|1|1|1|,0.0|nan|nan|0.0|0.0|0.0|0.0|0.0|0.0|,0.0|nan|nan|0.0|0.0|0.0|0.0|0.0|0.0|,1|1|0|0|0|0|0|0|0|0|,8|1|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,8|1|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,9,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,9|2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,9|2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|0|,9|2|0|0|1|2|1|1|1|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,4|0|0|0|0|0|0|0|4|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,5|1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,5|1|0|0|1|2|0|0|0|1|,46|33|0|0|21|30|20|22|20|24|,0.5079365079365079|0.4821428571428571|0.0|0.0|0.25|0.4285714285714286|0.2142857142857143|0.2857142857142857|0.2142857142857143|0.3571428571428571|,0.5793650793650794|0.5714285714285714|0.0|0.0|0.5|0.7142857142857143|0.42857142857142855|0.5714285714285714|0.42857142857142855|0.7142857142857143|,0.16666666666666666,0.3333333333333333,0.0,0.0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9|2|0|0|1|2|1|1|1|1|,1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
36,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.4,5|1|0|0|1|2|0|0|0|1|,0.0|nan|nan|0.0|0.0|nan|nan|nan|0.0|,0.0|nan|nan|0.0|0.0|nan|nan|nan|0.0|,1|0|0|0|0|1|0|0|0|0|,4|1|0|0|1|1|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|1|0|0|0|0|,4|1|0|0|1|1|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,5|1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5|1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,5|1|0|0|1|2|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,3|0|0|0|1|0|1|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,2|1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,2|1|0|0|0|0|0|0|0|1|,39|24|0|0|21|27|0|0|0|24|,0.4842857142857143|0.3571428571428571|0.0|0.0|0.25|0.3571428571428571|0.0|0.0|0.0|0.3571428571428571|,0.6285714285714286|0.7142857142857143|0.0|0.0|0.5|0.6071428571428571|0.0|0.0|0.0|0.7142857142857143|,0.3,0.2,0.0,0.0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5|1|0|0|1|2|0|0|0|1|,1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
37,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,2|1|0|0|0|0|0|0|0|1|,0.0|nan|nan|nan|nan|nan|nan|nan|0.0|,0.0|nan|nan|nan|nan|nan|nan|nan|0.0|,0|0|0|0|0|0|0|0|0|0|,2|1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2|1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2|1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2|0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|0|,2|0|0|0|0|0|0|0|0|2|,31|24|0|0|0|0|0|0|0|24|,0.4285714285714286|0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3571428571428571|,0.7142857142857143|0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2|1|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
38,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.5,2|0|0|0|0|0|0|0|0|2|,nan|nan|nan|nan|nan|nan|nan|nan|0.0|,nan|nan|nan|nan|nan|nan|nan|nan|0.0|,0|0|0|0|0|0|0|0|0|0|,2|0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2|0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,2|0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|1|0|0|,31|0|0|0|0|0|0|0|0|31|,0.4285714285714286|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4285714285714286|,0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2|0|0|0|0|0|0|0|0|2|,0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
39,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|0|0|0|0|0|0|1|0|0|,nan|nan|nan|nan|nan|nan|0.0|nan|nan|,nan|nan|nan|nan|nan|nan|0.0|nan|nan|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|1|,24|0|0|0|0|0|0|24|0|0|,0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.3571428571428571|0.0|0.0|,0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|0.0|0.0|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|0|0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
40,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|0|0|0|0|0|0|0|0|1|,nan|nan|nan|nan|nan|nan|nan|nan|0.0|,nan|nan|nan|nan|nan|nan|nan|nan|0.0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,24|0|0|0|0|0|0|0|0|24|,0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3571428571428571|,0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|0|0|0|0|0|0|0|0|1|,1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
41,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|1|0|0|0|0|0|0|0|0|,0.0|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,24|24|0|0|0|0|0|0|0|0|,0.3571428571428571|0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0.7142857142857143|0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|1|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
42,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|1|0|0|0|0|0|0|0|0|,0.0|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,24|24|0|0|0|0|0|0|0|0|,0.3571428571428571|0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0.7142857142857143|0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|1|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
43,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|0|0|0|0|0|0|0|1|0|,nan|nan|nan|nan|nan|nan|nan|0.0|nan|,nan|nan|nan|nan|nan|nan|nan|0.0|nan|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,24|0|0|0|0|0|0|0|24|0|,0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3571428571428571|0.0|,0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|0.0|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
44,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0,1|0|0|0|0|0|0|0|1|0|,nan|nan|nan|nan|nan|nan|nan|0.0|nan|,nan|nan|nan|nan|nan|nan|nan|0.0|nan|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1,0,0,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|1|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1|0|0|0|0|0|1|0|0|0|,24|0|0|0|0|0|0|0|24|0|,0.3571428571428571|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3571428571428571|0.0|,0.7142857142857143|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7142857142857143|0.0|,0.5,0.0,0.0,0.0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|0|0|0|0|0|0|0|1|0|,0|0|0|0|0|1|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|1|0|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
